site_key,keyword,article_type,service_name,official_url,media_info,slug,category,tags,affiliate_url,st_af_main,st_af_banner,st_af_text,banner_image_url,coupon_code,coupon_note,main_article_url
lovedoll,KUMADOLL 口コミ,商標,KUMADOLL,https://kumadoll.jp/,ラブドール正規代理店を紹介するレビューメディア,kuma-doll,口コミ・評判,"KUMADOLL,正規代理店",,,,,,,,
lovedoll,KUMADOLL 送料,補助ライト,KUMADOLL,https://kumadoll.jp/,ラブドール正規代理店を紹介するレビューメディア,kuma-doll-shipping,口コミ・評判,,,,,,,,,https://lovedoll.jetboy.jp/kuma-doll/
