domain,link_count,years_seen,first_seen,last_seen,sample_anchor,sample_source_url,is_alive,genre,memo
fujisawa-cci.or.jp,6,"2016,2017",20161220174636,20170622082811,http://www.fujisawa-cci.or.jp/access.htm,http://www.japan-affiliate.org:80/news/1stkouza201612/,True,,
harublog.popnavi.net,6,"2014,2015,2016",20140712105139,20160507085747,お問合せページ,http://www.japan-affiliate.org/regular/harublog/,True,,
hietori.kittys.biz,6,"2014,2016,2017",20140210170230,20170113235832,http://hietori.kittys.biz/,http://www.japan-affiliate.org:80/regular/kittys/,True,,
mimiyoli.info,6,"2014,2016",20140729132713,20160120044235,http://mimiyoli.info/,http://www.japan-affiliate.org:80/regular/mimiyoli/,True,,
motsunabe.info,6,"2014,2015,2016",20140401025536,20160711120447,http://motsunabe.info/,http://www.japan-affiliate.org/regular/kossori/,True,,
mugi.kyukeichu.com,6,"2014,2015,2016",20140401051808,20160213041622,http://mugi.kyukeichu.com,http://www.japan-affiliate.org/regular/mmayu/,True,,
naion.seesaa.net,6,"2014,2015,2016",20140401050029,20160406092616,http://naion.seesaa.net/,http://www.japan-affiliate.org/regular/toshihiro/,True,,
nishitokyo.kyukeichu.com,6,"2014,2015,2016",20140401051808,20160213041622,http://nishitokyo.kyukeichu.com,http://www.japan-affiliate.org/regular/mmayu/,True,,
nunonapu.kittys.biz,6,"2014,2016,2017",20140210170230,20170113235832,http://nunonapu.kittys.biz/,http://www.japan-affiliate.org:80/regular/kittys/,True,,
onnsennitomarou.seesaa.net,6,"2014,2015,2016",20140401044458,20160718041351,http://onnsennitomarou.seesaa.net/,http://www.japan-affiliate.org/regular/houtoku/,True,,
orange-plan.net,6,"2014,2015,2017",20140209144503,20170915084530,アフィリエイトお悩み解決勉強会,http://www.japan-affiliate.org/news/1stkouza201401/,True,,
petit-mall.jp,6,2014,20140328024500,20140328024500,http://petit-mall.jp/cosmesearch/,http://www.japan-affiliate.org/regular/petit-mall/,True,,
simple.kittys.biz,6,"2014,2016,2017",20140210170230,20170113235832,http://simple.kittys.biz/,http://www.japan-affiliate.org:80/regular/kittys/,True,,
someyamasatoshi.jp,6,"2014,2015,2016,2017",20140111200738,20170914115150,ブログ飯 著者,http://www.japan-affiliate.org/news/131202_manabukai/,True,,
tablet-ict.com,6,"2014,2015,2016",20140712105139,20160507085747,http://tablet-ict.com/,http://www.japan-affiliate.org/regular/harublog/,True,,
techoo.net,6,"2015,2016,2017",20150323051054,20170628181408,流行手帖,http://www.japan-affiliate.org/news/honki2014panel/,True,,
wolf-blog.com,6,"2014,2015",20140327184814,20150325000559,http://wolf-blog.com/photo/,http://www.japan-affiliate.org/regular/wolf-blog/,True,,
h-nanae.com,5,"2016,2017",20160516190834,20171001130613,ひびの備忘録,http://www.japan-affiliate.org:80/news/kaiseki1606jao/,True,,
hello-mr.net,5,"2016,2017",20160620232105,20170905200136,http://www.hello-mr.net/shibuya-city/shibuya02/index.html,http://www.japan-affiliate.org/news/honki2011/,True,,
info.nissen.co.jp,5,"2014,2016,2017",20140110075839,20170726042639,株式会社ニッセン,http://www.japan-affiliate.org:80/about/,True,,
kosodate-kuruma.com,5,"2015,2016,2017",20150319070221,20170129181034,子育て世代の車選び,http://www.japan-affiliate.org/news/apiwordpress1502/,True,,
kosodate-news.com,5,"2015,2016,2017",20150319070221,20170129181034,子育て世代ニュース,http://www.japan-affiliate.org/news/apiwordpress1502/,True,,
mtddc2015.mt-tokyo.net,5,2017,20170726025518,20170726025518,http://mtddc2015.mt-tokyo.net/news/lt-speaker.html,http://www.japan-affiliate.org/news/mtddc2015silver/,True,,
nahls.co.jp,5,"2016,2017",20160419042855,20171211205106,ナールスピュア（株式会社ディープインパクト）,http://www.japan-affiliate.org:80/news/seikaup1606/,True,,
office6f.com,5,"2016,2017",20160521094601,20170620081401,https://office6f.com/map/,http://www.japan-affiliate.org:80/news/oomiya1605/,True,,
pikkapikka.net,5,"2014,2016",20140729132713,20160120044235,http://pikkapikka.net/hokouki/,http://www.japan-affiliate.org:80/regular/mimiyoli/,True,,
review-style.com,5,"2015,2016,2017",20150323051054,20170628181408,レビューSTYLE.COM,http://www.japan-affiliate.org/news/honki2014panel/,True,,
ssl.form-mailer.jp,5,"2014,2016,2017",20140401044551,20170905200136,https://ssl.form-mailer.jp/fms/4447d3c4124611,http://www.japan-affiliate.org/regular/kuchikomihouse/,True,,
toy-japan.net,5,"2015,2016,2017",20150319070221,20170129181034,子育て世代のおもちゃ選び,http://www.japan-affiliate.org/news/apiwordpress1502/,True,,
wacul-ai.com,5,"2016,2017",20160516190834,20171001130613,人工知能を使ったWeb分析サービス「AIアナリスト」,http://www.japan-affiliate.org:80/news/kaiseki1606jao/,True,,
181109.com,4,"2015,2017",20150329200852,20170703044758,仁丹堂,http://www.japan-affiliate.org/news/kansai201205/,True,,
55affili.com,4,"2014,2015,2016,2017",20140325160143,20170127085950,がんばれアフィリエイト,http://www.japan-affiliate.org/regular/11kaigofuku/,True,,
accesstrade.ne.jp,4,"2014,2015,2016",20140723064617,20160713195352,アクセストレード,http://www.japan-affiliate.org/regular/mybook/,True,,
amazon.co.jp,4,"2016,2017",20160620080520,20171212192503,成功するネットショップ 集客と運営の教科書,http://www.japan-affiliate.org:80/news/koukoku1606/,True,,
asiannyanko.blog67.fc2.com,4,"2014,2015",20140401051358,20150430040356,http://b-jewelry.net/,http://www.japan-affiliate.org/regular/fruits-nyanko/,True,,
asuka-xp.com,4,"2015,2016,2017",20150323051054,20170129181034,め～んずスタジオ,http://www.japan-affiliate.org/news/honki2014panel/,True,,
baby-kosodate.net,4,"2014,2016",20140209201814,20160111202653,http://baby-kosodate.net/,http://www.japan-affiliate.org:80/regular/ko-harubiyori/,True,,
blog.junkword.net,4,"2014,2015,2016",20140401052508,20160711120243,http://blog.junkword.net/,http://www.japan-affiliate.org/regular/junkword/,True,,
blog.nakachon.com,4,"2015,2016,2017",20150323051054,20170129181034,なかちょんブログ,http://www.japan-affiliate.org/news/honki2014panel/,True,,
bondsconnect.co.jp,4,"2015,2017",20150329200852,20170703044758,手元供養本舗,http://www.japan-affiliate.org/news/kansai201205/,True,,
books.rakuten.co.jp,4,"2015,2016,2017",20150501061642,20170625035925,ネットで儲ける！ブログでアフィリエイト,http://www.japan-affiliate.org/news/honki2012/,True,,
cafe-ambient.jugem.jp,4,"2014,2015",20140401051007,20150430030225,http://cafe-ambient.jugem.jp/,http://www.japan-affiliate.org/regular/papinen/,True,,
coco-style.biz,4,2014,20140117012028,20140117012028,http://coco-style.biz/organic_cosme/,http://www.japan-affiliate.org/regular/coco-style/,True,,
e-omamori.jp,4,2017,20170606160652,20170608064856,お守りこすめ（合同会社ドクター・プラーナビー）,http://www.japan-affiliate.org/news/yokohama1610/,True,,
elfashion.net,4,"2015,2017",20150430042551,20170616080112,http://elfashion.net/,http://www.japan-affiliate.org/regular/netoge-usepc/,True,,
fanblogs.jp,4,"2014,2015",20140401051835,20150430051825,http://fanblogs.jp/usausa40/,http://www.japan-affiliate.org/regular/usapyonpyon/,True,,
feedburner.google.com,4,"2014,2015,2016,2017",20140109202132,20170126110520,メールでお知らせ,http://www.japan-affiliate.org/,True,,
feeds.feedburner.com,4,"2014,2015,2016,2017",20140109202132,20170126110520,RSS,http://www.japan-affiliate.org/,True,,
goodnotepc.net,4,"2014,2015,2016,2017",20140715135848,20170130011842,「ThinkPad E450」は予算10万円未満で格安購入可能な割には、モバイル用途として全てにおいてバランスの取れた凄腕ノートパソコン！割引クーポンを使えば、さらにお安く購入出来ますよ！,http://www.japan-affiliate.org/regular/goodnotepc/,True,,
hikigashi.jp,4,"2015,2016",20150430003837,20160618235912,http://hikigashi.jp/,http://www.japan-affiliate.org/regular/happyclover/,True,,
hotelreport.seesaa.net,4,"2015,2016,2017",20150501061642,20170625035925,"3,500円で泊まる！東京の格安ホテル",http://www.japan-affiliate.org/news/honki2012/,True,,
kaereba.com,4,"2015,2016,2017",20150501061642,20170625035925,カエレバ,http://www.japan-affiliate.org/news/honki2012/,True,,
kanchoa.com,4,"2014,2015",20140401051739,20150327093030,http://www.kanchoa.com/,http://www.japan-affiliate.org/regular/reebird/,True,,
kandou.biz,4,"2014,2016",20140729132713,20160120044235,http://kandou.biz/,http://www.japan-affiliate.org:80/regular/mimiyoli/,True,,
kawagoe.essay.jp,4,"2014,2015",20140401041959,20150429222334,お問い合わせフォーム,http://www.japan-affiliate.org/regular/seker/,True,,
kimono-kirunara.com,4,"2014,2016",20140401051144,20160711120442,http://kimono-kirunara.com/,http://www.japan-affiliate.org/regular/kirimarunaomi/,True,,
kitsukekoharu.blog7.fc2.com,4,"2014,2016",20140209201814,20160111202653,http://kitsukekoharu.blog7.fc2.com/,http://www.japan-affiliate.org:80/regular/ko-harubiyori/,True,,
mamacarlife.seesaa.net,4,"2014,2015",20140401051358,20150430040356,http://mamacarlife.seesaa.net/,http://www.japan-affiliate.org/regular/fruits-nyanko/,True,,
motto-kireini.com,4,"2014,2016",20140401051144,20160711120442,http://motto-kireini.com/,http://www.japan-affiliate.org/regular/kirimarunaomi/,True,,
nairegift.com,4,"2015,2016,2017",20150501061642,20170625035925,名入れギフト.com,http://www.japan-affiliate.org/news/honki2012/,True,,
nikoniko-2525.com,4,"2015,2016",20150429235720,20160411223128,http://nikoniko-2525.com/,http://www.japan-affiliate.org/regular/nikoniko/,True,,
nikonikomuryou0.blog.fc2.com,4,"2015,2016",20150429235720,20160411223128,http://nikonikomuryou0.blog.fc2.com/,http://www.japan-affiliate.org/regular/nikoniko/,True,,
onegaitiger.com,4,"2014,2016,2017",20140608015934,20170905200136,http://onegaitiger.com/saigai/,http://www.japan-affiliate.org:80/news/honki2011detail/,True,,
papinen.jugem.jp,4,"2014,2015",20140401051007,20150430030225,http://papinen.jugem.jp/,http://www.japan-affiliate.org/regular/papinen/,True,,
plug-kitchen.com,4,"2016,2017",20160621220343,20170906154033,http://plug-kitchen.com/access,http://www.japan-affiliate.org:80/news/1stkouza201606b/,True,,
reebird.com,4,"2014,2015",20140401051739,20150327093030,お問い合わせフォーム,http://www.japan-affiliate.org/regular/reebird/,True,,
reeblo.reebird.com,4,"2014,2015",20140401051739,20150327093030,http://reeblo.reebird.com/,http://www.japan-affiliate.org/regular/reebird/,True,,
